icdcode,description
1,Enteric fever
2,Typhus
3A,Relapsing fever
3B,Mediterranean fever
4,Malaria
5,Small-pox
6,Measles
7,Scarlet fever
8,Whooping cough
9A,Diphtheria
9B,Membranous laryngitis
9C,Croup
10,Influenza
11,Miliary fever
12,Asiatic cholera
13,Cholera nostras
14,Dysentery
15,Plague
16,Yellow fever
17,Leprosy
18,Erysipelas
19A,Mumps
19B,German measles
19C,Varicella
19D,Other epidemic diseases
20A,Pyaemia
20B,Septicaemia
20C,Vaccinia
21,Glanders
22,Anthrax (Splenic fever)
23,Rabies
24,Tetanus
25A,Actinomycosis
25B,Other mycoses
26,Pellagra
27,Beri-beri
28A,Pulmonary tuberculosis
28B,Phthisis (not def. as t.b.)
29A,Acute phthisis
29B,Acute miliary t.b.
30,Tuberculous meningitis
31A,Tabes mesenterica
31B,Other peritoneal & intestinal tubercle
32,T.b. of spinal column
33,T.b. of joints
34A,Lupus
34B,Scrofula
34C,T.b. of other organs
35,Disseminated t.b.
36A,Rickets
36B,Other forms of bone softening
37,Syphilis
38A,Soft chancre
38B,Gonococcus infection
38C,Purulent ophthalmia
39,Cancer of buccal cavity
40,"Cancer of stomach, liver, etc"
41,"Cancer of peritoneum, intestines & rectum"
42,Cancer of female genital organs
43,Cancer of breast
44,Cancer of skin
45,Cancer of other or unspecified organs
46A,Angioma
46B,Adenoma
46C,Other tumours (situation undefined)
47,Rheumatic fever
48A,Chronic rheumatism
48B,Osteo-arthritis
48C,Gout
49,Scurvy
50,Diabetes
51,Exophthalmic goitre
52,Addison's disease
53A,Leucocythaemia (Leuchaemia)
53B,Lymphadenoma
54,"Anaemia, Chlorosis"
55A,Diabetes insipidus
55B,Purpura
55C,Haemophilia
55D,Other general diseases
56,Alcoholism (acute or chronic)
57A,Occupational lead poisoning
57B,Non-occupational lead poisoning
58,Other chronic occupational poisonings
59,Other chronic poisonings
60,Encephalitis
61A,Cerebro-spinal fever
61B,Posterior basal meningitis
61C,"Meningitis, other forms"
62,Locomotor ataxy
63A,"Diseases of the spinal cord formerly classed to ""Other nervous affections"""
63B,Poliomyelitis
