icdcode,description
164e,Suicide by jumping from high places
164fa,Suicide by crushing on railways
164fb,Other suicide by crushing
164g,Suicide by other or unspecified means
165,Infanticide (infants under 1 year)
166,Homicide by firearms
167,Homicide by cuttting or piercing instruments
168,Homicide by other or unspecified means
169,Railway accidents (any cause of death except war)
170,Motor vehicle accidents (any cause of death except war)
170a,Collisions with trains
170b,Collisions with trams
170c,Other motor vehicle accidents
171a,Tramway accidents on roads (any cause of death except war)
171b,Other road transport accidents (any cause of death except war)
172,Water transport accidents (any cause of death except war)
173,Air transport accidents (any cause of death except war)
174,Accidents in mines and quarries (any cause of death except war)
175a,"Accidents from farm etc, machinery and vehicles"
175ba,Injury by venomous animals
175bb,Injury by other animals
175c,Other agricultural and forestry accidents (any cause of death except war)
176,Accidents caused by machinery (any cause of death)
177,Food poisoning
178,Accidental absorption of poison gas*
179,Other acute accidental poisoning*
180,Conflagration*
181,Accidental burns (conflagration excepted)*
182,Accidental mechanical suffocation*
183,Accidental drowning*
184,Accidental injury by firearms*
185,Accidental injury by cutting or piercing instruments*
186,"Accidential injury  by fall, crushing, landslide, etc."
187,Cataclysm (any cause of death)
188,Injury by animals*
189,Hunger or thirst*
190,Excessive cold*
191,Excessive heat*
192,Lightning
193,Other accidents due to electric currents*
194,Attack by venomous animals
195a(1),Vaccinia
195a(2),Other sequelae of vaccination against smallpox
195ba,Anaesthetic accidents
195bb,Other accidents due to medical or surgical intervention
195c,Lack of care of the newborn
195d,Other and unspecified accidents*
196,Deaths of persons in military service during operations at war
197,Deaths of civilians due to operations of war
198,Legal executions
199,Sudden death
200a(1),Heart failure
200a(2),Other ill-defined causes
200b,"Found dead, cause unknown"
200c,Other deaths from unknown or unspecified cause
