icdcode,description
154(4),Other diseases of the skin and its annexa
155(1),Acute infective osteo-myelitis and periostitis
155(2),Other diseases of the bones
156,Diseases of the joints
157,Amputations
158,Other diseases of the organs of locomotion
159(1),Congenital hydrocephalus
159(2),Congenital malformation of heart
159(3),Other congenital malformations
160(1),Congenital debility and sclerema
160(2),Icterus neonatorum
161(1),Premature birth
161(2),Injury at birth
162(1),Diseases of the umbilicus
162(2),Atelectasis
162(3),Other diseases peculiar to early pregnancy
163,Lack of care
164(1),Senile dementia
164(2),Other forms of senile decay
"165, 166*",Suicide by solid or liquid poisons and corrosive substances
167,Suicide by poisonous gas
168,Suicide by hanging or strangulation
169,Suicide by drowning
170,Suicide by firearms
171,Suicide by cutting or piercing instruments
172,Suicide by jumping from high place
173,Suicide by crushing
174,Suicide by other means
175,Food poisoning
176,Poisoning by venomous animals
177,Other acute accidental poisoning (not by gas)
178,Conflagration
179,Accidental burns (conflagration excepted)
180,Accidental mechanical suffocation
181,Accidental absorption of irrespirable or poisonous gas
182,Accidental drowning
183,Accidental injury by firearms
184,Accidental injury by cutting or piercing instruments
185,Accidental injury by fall
186,Accidental injury in mining and quarrying
187,Accidental injury by machinery
188,"Accidental injury by other forms of crushing (road vehicles, etc)"
189,Injury by animals (poisoning by venomous animals excepted)
190,Wounds of war
191,Execution of civilians by belligerent armies
192,Hunger or thirst
193,Excessive cold
194,Excessive heat
195,Lightning
196,Electricity (lightning excepted)
197,Homicide by firearms
198,Homicide by cutting or piercing instruments
199,Homicide by other means
201,Fracture (cause not specified)
202,Other and unstated forms of accidental violence; Execution
203,"Violent deaths of unstated nature (i.e.accidental, suicidal,etc.) and cause"
204,Sudden death
205(1),Heart failure (age 1-70)
205(2),Other ill-defined causes
205(3),Cause not specified
