icdcode,description1,description2
7997,Other ill-defined and unknown causes of morbidity and mortality,Unspecified
0000,Neonatal death,Neonatal death
0010,Cholera,Due to Vibrio cholerae
0011,Cholera,Due to Vibrio cholerae el tor
0019,Cholera,Unspecified
0020,Typhoid and paratyphoid fevers,Typhoid fever
0021,Typhoid and paratyphoid fevers,Paratyphoid fever A
0022,Typhoid and paratyphoid fevers,Paratyphoid fever B
0023,Typhoid and paratyphoid fevers,Paratyphoid fever C
0029,Typhoid and paratyphoid fevers,"Paratyphoid fever, unspecified"
0030,Other salmonella infections,Salmonella gastroenteritis
0031,Other salmonella infections,Salmonella septicaemia
0032,Other salmonella infections,Localized salmonella infections
0038,Other salmonella infections,Other
0039,Other salmonella infections,Unspecified
0040,Shigellosis,Shigella dysenteriae
0041,Shigellosis,Shigella flexneri
0042,Shigellosis,Shigella boydii
0043,Shigellosis,Shigella sonnei
0048,Shigellosis,Other
0049,Shigellosis,Unspecified
0050,Other food poisoning (bacterial),Staphylococcal food poisoning
0051,Other food poisoning (bacterial),Botulism
0052,Other food poisoning (bacterial),Food poisoning due to Clostridium perfringens (Cl. welchii)
0053,Other food poisoning (bacterial),Food poisoning due to other Clostridia
0054,Other food poisoning (bacterial),Food poisoning due to Vibrio parahaemolyticus
0058,Other food poisoning (bacterial),Other bacterial food poisoning
0059,Other food poisoning (bacterial),"Food poisoning, unspecified"
0060,Amoebiasis,Acute amoebic dysentery without mention of abscess
0061,Amoebiasis,Chronic intestinal amoebiasis without mention of abscess
0062,Amoebiasis,Amoebic nondysenteric colitis
0063,Amoebiasis,Amoebic liver abscess
0064,Amoebiasis,Amoebic lung abscess
0065,Amoebiasis,Amoebic brain abscess
0066,Amoebiasis,Amoebic skin ulceration
0068,Amoebiasis,Amoebic infection of other sites
0069,Amoebiasis,"Amoebiasis, unspecified"
0070,Other protozoal intestinal diseases,Balantidiasis
0071,Other protozoal intestinal diseases,Giardiasis
0072,Other protozoal intestinal diseases,Coccidiosis
0073,Other protozoal intestinal diseases,Intestinal trichomoniasis
0078,Other protozoal intestinal diseases,Other protozoal intestinal diseases
0079,Other protozoal intestinal diseases,Unspecified
0080,Intestinal infections due to other organisms,Escherichia coli
0081,Intestinal infections due to other organisms,Arizona
0082,Intestinal infections due to other organisms,Aerobacter aerogenes
0083,Intestinal infections due to other organisms,Proteus (mirabilis) (morganii)
0084,Intestinal infections due to other organisms,Other specified bacteria
0085,Intestinal infections due to other organisms,"Bacterial enteritis, unspecified"
0086,Intestinal infections due to other organisms,Enteritis due to specified virus
0088,Intestinal infections due to other organisms,"Other organism, not elsewhere classified"
0090,Ill-defined intestinal infections,"Infectious colitis, enteritis and gastroenteritis"
0091,Ill-defined intestinal infections,"Colitis, enteritis and gastroenteritis of presumed infectious origin"
0092,Ill-defined intestinal infections,Infectious diarrhoea
0093,Ill-defined intestinal infections,"Diarrhoea, of presumed infectious origin"
0100,Primary tuberculous infection,Primary tuberculous complex
0101,Primary tuberculous infection,Tuberculous pleurisy in primary progressive tuberculosis
0108,Primary tuberculous infection,Other primary progressive tuberculosis
0109,Primary tuberculous infection,Unspecified
0110,Pulmonary tuberculosis,"Tuberculosis of lung, infiltrative"
0111,Pulmonary tuberculosis,"Tuberculosis of lung, nodular"
0112,Pulmonary tuberculosis,Tuberculosis of lung with cavitation
0113,Pulmonary tuberculosis,Tuberculosis of bronchus
0114,Pulmonary tuberculosis,Tuberculous fibrosis of lung
0115,Pulmonary tuberculosis,Tuberculous bronchiectasis
0116,Pulmonary tuberculosis,Tuberculous pneumonia (any form)
0117,Pulmonary tuberculosis,Tuberculous pneumothorax
0118,Pulmonary tuberculosis,Other pulmonary tuberculosis
0119,Pulmonary tuberculosis,Unspecified
0120,Other respiratory tuberculosis,Tuberculous pleurisy
0121,Other respiratory tuberculosis,Tuberculosis of intrathoracic lymph nodes
0122,Other respiratory tuberculosis,Isolated tracheal or bronchial tuberculosis
0123,Other respiratory tuberculosis,Tuberculous laryngitis
0128,Other respiratory tuberculosis,Other
0130,Tuberculosis of meninges and central nervous system,Tuberculous meningitis
0131,Tuberculosis of meninges and central nervous system,Tuberculoma of meninges
0138,Tuberculosis of meninges and central nervous system,Other
0139,Tuberculosis of meninges and central nervous system,Unspecified
0140,"Tuberculosis of intestines, peritoneum and mesenteric glands","Tuberculosis of intestines, peritoneum and mesenteric glands"
0150,Tuberculosis of bones and joints,Vertebral column
0151,Tuberculosis of bones and joints,Hip
0152,Tuberculosis of bones and joints,Knee
0157,Tuberculosis of bones and joints,Other bone
0158,Tuberculosis of bones and joints,Other joint
0159,Tuberculosis of bones and joints,Unspecified
0160,Tuberculosis of genitourinary system,Kidney
0161,Tuberculosis of genitourinary system,Other urinary organs
0162,Tuberculosis of genitourinary system,Epididymis
0163,Tuberculosis of genitourinary system,Other male genital organs
0164,Tuberculosis of genitourinary system,Female genital organs
0169,Tuberculosis of genitourinary system,Unspecified
0170,Tuberculosis of other organs,Skin and subcutaneous cellular tissue
0171,Tuberculosis of other organs,Erythema nodosum with hypersensitivity reaction in tuberculosis
0172,Tuberculosis of other organs,Peripheral lymph nodes
0173,Tuberculosis of other organs,Eye
0174,Tuberculosis of other organs,Ear
0175,Tuberculosis of other organs,Thyroid gland
0176,Tuberculosis of other organs,Adrenal glands
0177,Tuberculosis of other organs,Spleen
0178,Tuberculosis of other organs,Other
0180,Miliary tuberculosis,Acute
0188,Miliary tuberculosis,Other
0189,Miliary tuberculosis,Unspecified
0200,Plague,Bubonic
0201,Plague,Cellulocutaneous
0202,Plague,Septicaemic
0203,Plague,Primary pneumonic
0204,Plague,Secondary pneumonic
0205,Plague,"Pneumonic, unspecified"
0208,Plague,Other
0209,Plague,Unspecified
0210,Tularaemia,Tularaemia
0220,Anthrax,Cutaneous anthrax
0221,Anthrax,Pulmonary anthrax
0222,Anthrax,Gastrointestinal anthrax
0223,Anthrax,Anthrax septicaemia
0228,Anthrax,Other manifestations
0229,Anthrax,Unspecified
0230,Brucellosis,Brucella melitensis
0231,Brucellosis,Brucella abortus
